,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
age,1,0.040503932,-0.076645868,-0.010508282,0.036527189,-0.266288022,0.001738894,-0.263697587,0.028718381,0.088831731,0.077674498,0.057774539,0.068755708,-0.00027048,0.234037103
workclass,0.040503932,1,-0.024337899,0.004873757,0.003535537,-0.020467839,0.007110387,-0.05794725,0.04834981,0.071583693,0.031505119,0.002644402,0.042198728,-0.001624909,0.002692974
fnlwgt,-0.076645868,-0.024337899,1,-0.028144591,-0.043194633,0.028153121,0.000188108,0.008931138,-0.021290642,0.026858045,0.000431886,-0.010251712,-0.018768491,-0.063286177,-0.009462557
education,-0.010508282,0.004873757,-0.028144591,1,0.359152942,-0.038406919,-0.041279114,-0.010876102,0.014131249,-0.027356238,0.03004588,0.016746232,0.055510226,0.076059554,0.079316609
education-num,0.036527189,0.003535537,-0.043194633,0.359152942,1,-0.069304089,0.070954221,-0.094153086,0.031838394,0.012280054,0.122630115,0.079922957,0.148122733,0.088894137,0.335153953
marital-status,-0.266288022,-0.020467839,0.028153121,-0.038406919,-0.069304089,1,0.03496207,0.18545097,-0.068013062,-0.129314467,-0.043393469,-0.034187368,-0.190519434,-0.021277723,-0.199307009
occupation,0.001738894,0.007110387,0.000188108,-0.041279114,0.070954221,0.03496207,1,-0.037450632,-0.004839475,0.04746137,0.018020635,0.009679891,-0.012878778,-0.002217005,0.034624537
relationship,-0.263697587,-0.05794725,0.008931138,-0.010876102,-0.094153086,0.18545097,-0.037450632,1,-0.116054596,-0.58245369,-0.05791945,-0.061062198,-0.248974474,-0.010712142,-0.250918142
race,0.028718381,0.04834981,-0.021290642,0.014131249,0.031838394,-0.068013062,-0.004839475,-0.116054596,1,0.087204302,0.0111448,0.018899,0.041909553,0.116529021,0.071845611
sex,0.088831731,0.071583693,0.026858045,-0.027356238,0.012280054,-0.129314467,0.04746137,-0.58245369,0.087204302,1,0.048479647,0.045567355,0.229309149,0.002060665,0.215980151
capital-gain,0.077674498,0.031505119,0.000431886,0.03004588,0.122630115,-0.043393469,0.018020635,-0.05791945,0.0111448,0.048479647,1,-0.031615063,0.078408615,0.00881919,0.223328818
capital-loss,0.057774539,0.002644402,-0.010251712,0.016746232,0.079922957,-0.034187368,0.009679891,-0.061062198,0.018899,0.045567355,-0.031615063,1,0.054256362,0.009400567,0.150526312
hours-per-week,0.068755708,0.042198728,-0.018768491,0.055510226,0.148122733,-0.190519434,-0.012878778,-0.248974474,0.041909553,0.229309149,0.078408615,0.054256362,1,0.006592132,0.229689066
native-country,-0.00027048,-0.001624909,-0.063286177,0.076059554,0.088894137,-0.021277723,-0.002217005,-0.010712142,0.116529021,0.002060665,0.00881919,0.009400567,0.006592132,1,0.023058045
class,0.234037103,0.002692974,-0.009462557,0.079316609,0.335153953,-0.199307009,0.034624537,-0.250918142,0.071845611,0.215980151,0.223328818,0.150526312,0.229689066,0.023058045,1
