age,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25,226802,1,7,4,6,3,2,1,0,0,40,37
38,89814,11,9,2,4,0,4,1,0,0,50,37
28,336951,7,12,2,10,0,4,1,0,0,40,37
44,160323,15,10,2,6,0,2,1,7688,0,40,37
18,103497,15,10,4,9,3,4,0,0,0,30,37
34,198693,0,6,4,7,1,4,1,0,0,30,37
29,227026,11,9,4,9,4,2,1,0,0,40,37
63,104626,14,15,2,9,0,4,1,3103,0,32,37
24,369667,15,10,4,7,4,4,0,0,0,40,37
55,104996,5,4,2,2,0,4,1,0,0,10,37
65,184454,11,9,2,6,0,4,1,6418,0,40,37
36,212465,9,13,2,0,0,4,1,0,0,40,37
26,82091,11,9,4,0,1,4,0,0,0,39,37
58,299831,11,9,2,9,0,4,1,0,0,35,37
48,279724,11,9,2,6,0,4,1,3103,0,48,37
43,346189,12,14,2,3,0,4,1,0,0,50,37
20,444554,15,10,4,7,3,4,1,0,0,25,37
43,128354,11,9,2,0,5,4,0,0,0,30,37
37,60548,11,9,6,6,4,4,0,0,0,20,37
40,85019,10,16,2,9,0,1,1,0,0,45,37
34,107914,9,13,2,12,0,4,1,0,0,47,37
34,238588,15,10,4,7,3,2,0,0,0,35,37
72,132015,5,4,0,9,1,4,0,0,0,6,37
25,220931,9,13,4,9,1,4,1,0,0,43,27
25,205947,9,13,2,9,0,4,1,0,0,40,37
45,432824,11,9,2,2,0,4,1,7298,0,90,37
22,236427,11,9,4,0,3,4,1,0,0,20,37
23,134446,11,9,5,6,4,2,1,0,0,54,37
54,99516,11,9,2,2,0,4,1,0,0,35,37
32,109282,15,10,4,9,1,4,1,0,0,60,37
46,106444,15,10,2,3,0,2,1,7688,0,38,37
56,186651,1,7,6,7,4,4,0,0,0,50,37
24,188274,9,13,4,11,1,4,1,0,0,50,37
23,258120,15,10,2,10,0,4,1,0,0,40,37
26,43311,11,9,0,3,4,4,0,0,0,40,37
65,191846,11,9,2,9,0,4,1,0,0,40,37
36,403681,9,13,2,9,0,4,1,0,0,40,37
22,248446,4,3,4,8,1,4,1,0,0,50,12
17,269430,0,6,4,6,1,4,1,0,0,40,37
20,257509,11,9,4,2,3,4,1,0,0,40,37
65,136384,12,14,2,9,0,4,1,0,0,50,37
44,120277,8,11,2,11,0,4,1,0,0,45,37
36,465326,11,9,2,4,0,4,1,0,0,40,37
29,103634,1,7,2,7,0,4,1,0,0,40,37
20,138371,15,10,4,4,3,4,1,0,0,32,37
28,242832,8,11,2,9,5,4,0,0,0,36,37
39,290208,5,4,2,2,0,4,1,0,0,40,24
54,186272,15,10,2,13,0,4,1,3908,0,50,37
52,201062,1,7,5,8,1,2,0,0,0,18,37
56,131916,11,9,6,3,1,4,0,0,0,50,37
18,54440,15,10,4,7,3,4,1,0,0,20,37
39,280215,11,9,0,5,3,2,1,0,0,40,37
21,214399,15,10,4,7,3,4,0,0,1721,24,37
22,54164,11,9,4,7,1,4,1,14084,0,60,37
38,219446,6,5,3,3,1,4,1,0,0,54,24
21,110677,15,10,4,0,3,4,0,0,0,40,37
63,145985,11,9,2,2,0,4,1,0,0,40,37
34,382078,9,13,2,3,0,4,1,3103,0,50,37
42,170721,11,9,2,3,0,4,1,5178,0,50,37
33,269705,11,9,2,5,0,4,1,0,0,40,37
30,101135,9,13,4,3,1,4,0,0,0,50,37
39,118429,15,10,0,11,1,4,1,0,0,40,37
26,31208,12,14,4,3,1,4,0,0,0,40,37
33,281384,11,9,4,6,3,4,0,0,0,40,37
47,171807,11,9,0,0,1,4,0,0,0,40,37
41,109912,9,13,4,7,1,4,0,0,0,40,37
41,445382,7,12,2,2,0,4,1,15024,0,60,37
19,105460,15,10,4,7,3,4,1,0,0,20,37
46,170338,11,9,5,13,1,4,1,0,0,40,37
43,102606,11,9,2,11,0,4,1,0,0,48,37
55,323887,15,10,2,3,0,4,1,15024,0,45,37
46,175622,8,11,2,12,0,4,1,0,0,40,37
30,229636,11,9,2,6,0,4,1,0,0,40,24
21,388946,15,10,5,5,1,4,0,0,0,40,37
46,269034,15,10,2,2,0,3,1,0,0,40,5
17,165361,0,6,4,9,3,4,1,0,0,40,37
41,75012,11,9,2,6,0,4,1,0,0,50,37
69,174379,11,9,2,11,0,4,1,0,0,30,37
50,312477,11,9,2,13,0,4,1,0,0,40,37
20,72055,15,10,4,0,1,4,0,0,0,40,37
45,67001,15,10,2,6,0,4,1,0,0,50,37
23,213734,9,13,4,3,1,4,1,0,0,40,37
24,83141,15,10,5,7,1,4,1,0,1876,40,37
44,223881,11,9,2,2,0,4,1,99999,0,50,37
31,113752,15,10,2,2,0,4,1,0,0,50,37
43,170482,11,9,5,6,1,4,0,0,0,44,37
20,244689,1,7,4,7,3,4,0,0,0,10,37
55,160631,11,9,2,11,0,4,1,0,0,56,37
24,228724,15,10,4,1,1,4,1,0,0,40,37
41,38434,12,14,2,9,5,4,0,7688,0,10,37
59,292946,9,13,4,3,1,4,0,0,0,25,37
49,77443,5,4,4,7,1,2,1,0,0,20,37
33,176410,12,14,2,9,5,4,0,5178,0,10,37
59,98984,9,13,0,0,1,4,1,0,0,40,37
34,198751,12,14,4,7,1,0,1,0,0,40,37
20,479296,11,9,4,5,3,4,1,0,0,40,37
25,235218,9,13,4,3,3,4,0,0,0,40,37
49,164877,0,6,2,4,0,4,1,0,0,40,37
59,272087,11,9,2,13,0,4,1,0,0,40,37
20,169699,11,9,4,0,1,4,0,0,0,40,37
51,189762,15,10,2,9,5,4,0,0,0,18,37
33,202191,15,10,4,0,4,2,0,0,0,35,37
22,212261,15,10,4,13,3,2,1,0,0,39,37
58,301568,6,5,6,7,1,4,0,0,0,40,37
52,155233,11,9,6,0,4,4,0,0,0,28,37
36,75826,0,6,5,6,1,4,0,0,0,40,37
41,201520,11,9,2,10,0,4,1,0,0,40,37
28,154236,11,9,4,13,3,4,1,2597,0,40,37
19,289227,15,10,4,5,3,2,1,0,0,16,37
18,217439,11,9,4,7,1,4,0,0,0,28,37
18,179020,11,9,4,6,3,4,0,0,0,48,37
28,149624,15,10,2,2,0,4,1,0,0,40,37
29,337266,8,11,2,3,0,4,1,0,0,40,37
20,30796,11,9,4,9,3,4,0,0,0,20,37
40,103541,15,10,2,5,0,4,1,0,0,40,37
26,206721,11,9,4,5,4,4,1,0,0,40,37
46,96773,11,9,2,2,0,4,1,0,0,40,37
23,200967,1,7,4,7,1,4,0,0,0,24,37
44,180019,11,9,3,0,4,4,0,0,0,40,37
43,179866,9,13,0,11,4,4,0,0,0,40,37
31,198770,9,13,0,9,4,4,0,0,0,60,37
18,219256,15,10,4,11,3,4,0,0,0,25,37
19,248730,15,10,4,10,3,4,1,0,0,30,37
41,110732,15,10,0,12,1,4,0,0,0,40,37
41,181020,11,9,0,5,4,4,0,0,0,40,37
69,183791,11,9,0,0,1,4,0,0,0,25,37
48,42972,10,16,2,9,5,4,0,0,0,40,37
28,134813,11,9,4,9,3,4,1,0,0,40,37
27,115438,11,9,2,2,0,4,1,0,0,60,19
41,239296,12,14,2,9,0,4,1,0,2415,50,37
41,428420,15,10,2,0,0,4,1,0,0,40,37
24,247846,11,9,4,2,4,2,0,0,0,40,37
20,334105,11,9,4,9,1,4,0,0,0,40,37
42,100793,10,16,2,9,0,4,1,0,0,41,37
57,244478,11,9,2,2,0,2,1,0,0,48,37
30,142921,7,12,4,9,1,4,0,0,0,40,37
36,182863,11,9,2,11,0,4,1,0,0,60,37
49,171128,5,4,2,6,0,2,1,0,0,40,37
33,145402,11,9,2,6,5,4,0,0,0,35,37
23,306309,0,6,2,4,0,4,1,0,0,40,37
46,83822,12,14,2,9,0,4,1,0,0,40,37
18,262118,15,10,4,0,3,1,0,0,0,22,10
40,155972,11,9,2,3,0,4,1,7688,0,55,37
43,214503,11,9,2,3,0,4,1,0,1887,45,37
34,159303,12,14,4,9,3,4,0,0,0,30,37
